"COW","ANNUAL.QUARTERLY.DATA","COUNTRY.NUMBER","YEAR","TYPE.OF.DATA","PROTEST.DEMONSTRATIONS","REGIME.SUPPRTD.DMNSTRTN","RIOT","ARMED.ATTACK","ASSASSINATION.SUCCESS.","POLITICAL.STRIKES","EXECUTIVE.RENEWAL","EXECUTIVE.ADJUSTMENTS","UNSUC.REG.EXEC.TRANSFER","REG.EXECUTIVE.TRANSFER","UNSUC.IRREG.EXEC.TRANS","IRREG.EXEC.TRANSFER","ELECTION","IMPOSITION.OF.POL.SANCT","POLITICAL.EXECUTION","RELAXATION.OF.SANCTION","DEATHS.FROM.DOM.VIOLENCE","ICPSR.STUDY.NUMBER.7761","ICPSR.EDITION.NUMBER.2","ICPSR.PART.NUMBER.3"
2,100,2,1948,0,1,0,0,2,0,0,1,3,0,0,0,0,1,12,0,11,2,7761,2,3
2,100,2,1949,0,1,0,7,11,0,0,0,3,0,0,0,0,0,10,0,10,5,7761,2,3
2,100,2,1950,0,3,1,9,20,0,0,0,0,0,0,0,0,1,19,0,12,3,7761,2,3
2,100,2,1951,0,1,7,13,19,0,0,0,2,0,0,0,0,0,15,0,10,9,7761,2,3
2,100,2,1952,0,0,0,2,15,0,0,0,1,0,1,0,0,1,10,0,9,3,7761,2,3
2,100,2,1953,0,1,2,2,12,0,0,0,1,0,0,0,0,0,8,2,11,0,7761,2,3
2,100,2,1954,0,8,0,1,6,0,9,0,0,0,0,0,0,1,26,0,12,0,7761,2,3
2,100,2,1955,0,1,1,0,10,0,0,0,1,0,0,0,0,0,5,0,15,2,7761,2,3
2,100,2,1956,0,8,2,10,40,0,0,1,1,0,0,0,0,1,30,0,20,7,7761,2,3
2,100,2,1957,0,4,1,11,121,0,0,0,2,0,0,0,0,0,25,0,32,0,7761,2,3
2,100,2,1958,0,21,15,7,97,0,3,0,3,0,0,0,0,1,37,0,24,12,7761,2,3
2,100,2,1959,0,12,3,8,61,0,1,0,2,0,0,0,0,0,17,0,9,11,7761,2,3
2,100,2,1960,0,95,3,36,57,0,2,0,0,0,1,0,0,1,86,0,94,7,7761,2,3
2,100,2,1961,0,165,15,47,22,0,3,0,0,0,0,0,0,0,123,0,36,3,7761,2,3
2,100,2,1962,0,72,6,21,31,0,1,0,2,0,0,0,0,1,47,0,28,10,7761,2,3
2,100,2,1963,0,202,8,65,47,0,0,0,1,0,1,0,0,0,115,0,31,13,7761,2,3
2,100,2,1964,0,134,4,75,71,0,4,1,5,0,0,0,0,1,69,0,45,14,7761,2,3
2,100,2,1965,0,211,8,45,71,1,3,0,0,0,0,0,0,0,114,0,25,105,7761,2,3
2,100,2,1966,0,124,5,119,23,0,13,0,1,0,0,0,0,1,58,0,3,15,7761,2,3
2,100,2,1967,0,115,22,205,43,0,4,0,3,0,0,0,0,0,120,0,17,99,7761,2,3
2,100,2,1968,0,105,0,29,42,2,2,0,0,0,0,0,0,1,38,0,3,16,7761,2,3
2,100,2,1969,0,128,9,29,28,0,13,0,0,0,1,0,0,0,63,0,1,30,7761,2,3
2,100,2,1970,0,99,7,45,57,0,85,0,4,0,0,0,0,1,62,0,3,9,7761,2,3
2,100,2,1971,0,152,2,21,24,1,1,0,1,0,0,0,0,0,71,0,2,40,7761,2,3
2,100,2,1972,0,244,2,20,19,0,5,0,8,0,0,0,0,1,60,0,4,1,7761,2,3
2,100,2,1973,0,69,0,5,16,1,2,1,5,0,0,0,0,0,17,0,4,1,7761,2,3
2,100,2,1974,0,60,0,12,18,0,3,0,6,0,1,0,0,1,25,0,6,4,7761,2,3
2,100,2,1975,0,59,1,9,32,0,0,0,10,0,0,0,0,0,27,0,3,7,7761,2,3
2,100,2,1976,0,39,0,1,32,0,0,0,2,0,0,0,0,1,14,0,0,3,7761,2,3
2,100,2,1977,0,51,0,7,12,0,0,0,2,0,1,0,0,0,19,0,7,3,7761,2,3
2,100,2,1978,0,246,4,9,32,0,2,0,0,0,0,0,0,1,38,0,7,2,7761,2,3
2,100,2,1979,0,186,5,24,56,1,5,0,8,0,0,0,0,0,76,0,14,7,7761,2,3
2,100,2,1980,0,155,1,41,48,2,5,0,1,0,1,0,0,2,62,0,9,22,7761,2,3
2,100,2,1981,0,439,1,14,32,0,2,0,0,0,0,0,0,0,47,0,1,1,7761,2,3
2,100,2,1982,0,140,0,5,34,1,1,0,3,0,0,0,0,3,55,0,7,0,7761,2,3
20,100,20,1948,0,0,0,1,0,0,0,0,2,0,1,0,0,1,7,0,0,0,7761,2,3
20,100,20,1949,0,0,0,0,0,0,0,2,1,0,0,0,0,1,4,0,1,0,7761,2,3
20,100,20,1950,0,0,0,2,3,0,0,1,2,0,0,0,0,0,9,0,3,0,7761,2,3
20,100,20,1951,0,1,0,0,1,0,0,3,0,0,0,0,0,0,12,0,1,0,7761,2,3
20,100,20,1952,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7761,2,3
20,100,20,1953,0,0,0,0,13,0,0,3,2,0,0,0,0,1,1,0,2,0,7761,2,3
20,100,20,1954,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,7761,2,3
20,100,20,1955,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,7761,2,3
20,100,20,1956,0,2,0,1,1,0,0,3,0,0,0,0,0,0,2,0,1,0,7761,2,3
20,100,20,1957,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,1,0,7761,2,3
20,100,20,1958,0,1,0,1,7,0,0,4,1,0,0,0,0,1,1,0,0,1,7761,2,3
20,100,20,1959,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7761,2,3
20,100,20,1960,0,1,0,3,0,0,0,1,1,0,0,0,0,0,3,0,2,0,7761,2,3
20,100,20,1961,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,7761,2,3
20,100,20,1962,0,6,0,0,65,0,0,9,3,0,0,0,0,1,4,0,1,0,7761,2,3
20,100,20,1963,0,1,1,3,9,0,1,12,6,0,1,0,0,1,6,0,0,3,7761,2,3
20,100,20,1964,0,7,1,7,5,0,0,6,2,0,0,0,0,0,5,0,0,2,7761,2,3
20,100,20,1965,0,6,8,3,4,0,0,3,7,0,0,0,0,1,8,0,0,1,7761,2,3
20,100,20,1966,0,1,0,5,1,0,0,3,1,0,0,0,0,0,2,0,0,0,7761,2,3
20,100,20,1967,0,1,1,0,3,0,0,1,3,0,0,0,0,0,2,0,1,0,7761,2,3
20,100,20,1968,0,3,0,2,0,0,0,0,1,0,2,0,0,1,1,0,1,0,7761,2,3
20,100,20,1969,0,5,0,0,12,0,2,0,3,0,0,0,0,0,5,0,1,0,7761,2,3
20,100,20,1970,0,2,0,0,15,1,1,0,1,0,0,0,0,0,24,0,10,1,7761,2,3
20,100,20,1971,0,13,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,1,7761,2,3
20,100,20,1972,0,4,0,0,2,0,16,1,2,0,0,0,0,1,4,0,1,1,7761,2,3
20,100,20,1973,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,7761,2,3
20,100,20,1974,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,7761,2,3
20,100,20,1975,0,2,0,1,1,0,0,0,4,0,0,0,0,0,1,0,0,1,7761,2,3
20,100,20,1976,0,2,0,1,0,0,3,0,7,0,0,0,0,0,2,0,0,0,7761,2,3
20,100,20,1977,0,1,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,7761,2,3
20,100,20,1978,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7761,2,3
20,100,20,1979,0,1,0,0,15,0,0,0,1,0,2,0,0,1,2,0,0,0,7761,2,3
20,100,20,1980,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,7761,2,3
20,100,20,1981,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7761,2,3
20,100,20,1982,0,2,1,0,2,0,1,0,3,0,1,0,0,1,4,0,0,0,7761,2,3
31,100,31,1973,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7761,2,3
31,100,31,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
31,100,31,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
31,100,31,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
31,100,31,1977,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7761,2,3
31,100,31,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7761,2,3
31,100,31,1979,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7761,2,3
31,100,31,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
31,100,31,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
31,100,31,1982,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,7761,2,3
40,100,40,1948,0,0,0,0,14,0,5,0,2,0,1,0,0,1,7,0,0,10,7761,2,3
40,100,40,1949,0,0,10,0,9,3,0,0,3,0,0,0,0,0,10,0,1,1,7761,2,3
40,100,40,1950,0,1,0,7,4,1,5,0,7,0,0,0,0,1,10,0,2,2,7761,2,3
40,100,40,1951,0,1,0,1,6,2,1,0,6,0,0,0,0,0,9,0,2,2,7761,2,3
40,100,40,1952,0,4,0,6,5,0,0,0,5,0,0,0,1,0,39,0,7,5,7761,2,3
40,100,40,1953,0,10,0,7,25,0,0,0,5,0,0,1,0,0,43,0,6,74,7761,2,3
40,100,40,1954,0,2,0,1,15,1,0,0,3,0,0,0,0,1,31,0,1,1,7761,2,3
40,100,40,1955,0,3,0,1,18,0,0,1,3,0,0,0,0,0,17,0,1,9,7761,2,3
40,100,40,1956,0,12,0,5,47,1,2,0,0,0,0,12,0,0,34,0,3,172,7761,2,3
40,100,40,1957,0,9,1,1,225,30,5,0,0,0,0,0,0,0,98,0,10,638,7761,2,3
40,100,40,1958,0,1,0,2,412,3,4,0,2,0,0,0,0,2,78,0,7,2521,7761,2,3
40,100,40,1959,0,2,9,9,62,0,3,1,8,0,2,2,1,0,157,1166,23,16,7761,2,3
40,100,40,1960,0,5,13,6,204,1,1,0,4,0,0,0,0,0,210,299,22,92,7761,2,3
40,100,40,1961,0,5,2,4,146,0,0,0,4,0,0,1,0,0,104,189,14,203,7761,2,3
40,100,40,1962,0,7,5,1,35,0,0,0,3,0,0,0,0,0,33,122,0,45,7761,2,3
40,100,40,1963,0,0,0,0,30,1,0,0,2,0,0,0,0,0,5,137,13,311,7761,2,3
40,100,40,1964,0,0,3,0,20,0,0,0,3,0,0,0,0,0,16,23,6,35,7761,2,3
40,100,40,1965,0,0,0,0,9,1,0,0,6,0,0,0,0,0,22,6,5,11,7761,2,3
40,100,40,1966,0,0,0,0,7,0,0,0,1,0,0,0,0,0,26,170,6,6,7761,2,3
40,100,40,1967,0,0,0,0,1,0,0,0,3,0,0,0,0,0,8,1,3,1,7761,2,3
40,100,40,1968,0,1,0,0,1,0,0,0,2,0,0,0,0,0,8,2,1,0,7761,2,3
40,100,40,1969,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,18,7761,2,3
40,100,40,1970,0,1,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,18,7761,2,3
40,100,40,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7761,2,3
40,100,40,1972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
40,100,40,1973,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7761,2,3
40,100,40,1974,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
40,100,40,1975,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7761,2,3
40,100,40,1976,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7761,2,3
40,100,40,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7761,2,3
40,100,40,1978,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,7761,2,3
40,100,40,1979,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,7761,2,3
40,100,40,1980,0,1,3,1,2,0,0,0,1,0,0,0,0,0,2,0,2,1,7761,2,3
40,100,40,1981,0,1,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,7761,2,3
40,100,40,1982,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,3,0,7761,2,3
41,100,41,1948,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
41,100,41,1949,0,0,0,0,0,0,2,0,1,0,1,0,0,0,10,0,2,1,7761,2,3
41,100,41,1950,0,0,0,5,0,0,0,0,2,0,2,0,1,1,0,0,0,0,7761,2,3
41,100,41,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7761,2,3
41,100,41,1952,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7761,2,3
41,100,41,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
41,100,41,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,7761,2,3
41,100,41,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
41,100,41,1956,0,1,0,1,11,0,6,0,2,0,1,0,1,0,9,0,2,1,7761,2,3
41,100,41,1957,0,13,8,34,14,0,11,0,10,2,5,2,2,1,43,0,2,60,7761,2,3
41,100,41,1958,0,0,2,0,13,3,0,0,7,0,1,1,0,0,28,3,5,18,7761,2,3
41,100,41,1959,0,2,0,0,27,0,0,0,4,0,0,1,0,1,33,0,11,7,7761,2,3
41,100,41,1960,0,0,0,1,1,4,2,0,2,0,0,0,0,0,26,0,1,0,7761,2,3
41,100,41,1961,0,5,1,1,11,0,2,1,1,0,0,0,0,1,17,1,2,4,7761,2,3
41,100,41,1962,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,1,0,7761,2,3
41,100,41,1963,0,0,1,2,40,0,0,0,3,1,0,1,0,0,62,0,6,62,7761,2,3
41,100,41,1964,0,0,1,0,18,0,0,1,0,0,1,0,1,0,19,251,0,9,7761,2,3
41,100,41,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,61,7761,2,3
41,100,41,1966,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,15,3,0,7761,2,3
41,100,41,1967,0,0,0,0,4,1,0,0,0,0,0,0,0,0,15,23,1,4,7761,2,3
41,100,41,1968,0,0,0,0,4,0,0,0,1,0,0,0,0,0,5,0,0,65,7761,2,3
41,100,41,1969,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,53,7761,2,3
41,100,41,1970,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,7761,2,3
41,100,41,1971,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7761,2,3
41,100,41,1972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,7761,2,3
41,100,41,1973,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,7761,2,3
41,100,41,1974,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
41,100,41,1975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
41,100,41,1976,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,12,7761,2,3
41,100,41,1977,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
41,100,41,1978,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
41,100,41,1979,0,2,0,0,3,0,0,0,2,0,0,0,0,1,4,0,0,1,7761,2,3
41,100,41,1980,0,1,0,0,1,0,0,0,2,0,0,0,0,0,6,0,3,12,7761,2,3
41,100,41,1981,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6,0,1,0,7761,2,3
41,100,41,1982,0,0,0,0,2,0,0,0,3,0,0,1,0,0,2,0,3,0,7761,2,3
42,100,42,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7761,2,3
42,100,42,1949,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,7761,2,3
42,100,42,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,8,7761,2,3
42,100,42,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,7761,2,3
42,100,42,1952,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7761,2,3
42,100,42,1953,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7761,2,3
42,100,42,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
42,100,42,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7761,2,3
42,100,42,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,7761,2,3
42,100,42,1957,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,7761,2,3
42,100,42,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7761,2,3
42,100,42,1959,0,1,2,0,15,0,0,0,0,0,0,0,0,0,17,0,1,145,7761,2,3
42,100,42,1960,0,2,5,1,6,0,0,0,3,0,1,1,0,0,33,0,6,92,7761,2,3
42,100,42,1961,0,24,0,44,16,1,8,0,4,0,2,0,0,0,54,0,15,28,7761,2,3
42,100,42,1962,0,1,5,25,17,0,2,0,3,0,0,0,2,1,22,0,2,13,7761,2,3
42,100,42,1963,0,13,0,5,20,0,2,0,2,0,2,0,1,0,32,0,7,73,7761,2,3
42,100,42,1964,0,1,0,6,3,0,3,0,0,0,0,0,0,0,17,0,0,1,7761,2,3
42,100,42,1965,0,13,6,11,126,0,2,0,2,0,2,2,1,0,30,35,7,3960,7761,2,3
42,100,42,1966,0,6,1,29,33,0,2,0,4,0,1,1,0,1,19,0,8,36,7761,2,3
42,100,42,1967,0,0,0,0,20,0,0,0,0,0,0,0,0,0,11,0,0,7,7761,2,3
42,100,42,1968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
42,100,42,1969,0,1,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,4,7761,2,3
42,100,42,1970,0,1,0,5,0,1,0,1,0,0,0,0,0,1,4,0,0,73,7761,2,3
42,100,42,1971,0,0,0,0,3,1,0,0,0,0,0,0,0,1,2,0,0,53,7761,2,3
42,100,42,1972,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,12,7761,2,3
42,100,42,1973,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,8,7761,2,3
42,100,42,1974,0,0,0,0,3,2,0,1,0,0,0,0,0,1,2,0,0,3,7761,2,3
42,100,42,1975,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,7761,2,3
42,100,42,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7761,2,3
42,100,42,1977,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,7761,2,3
42,100,42,1978,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,7761,2,3
42,100,42,1979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
42,100,42,1980,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
42,100,42,1981,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,7761,2,3
42,100,42,1982,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,7761,2,3
51,100,51,1962,0,0,1,5,0,0,0,0,0,0,2,0,0,1,0,0,1,1,7761,2,3
51,100,51,1963,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7761,2,3
51,100,51,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1966,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,1,1,7761,2,3
51,100,51,1967,0,0,0,1,1,0,0,0,1,0,2,0,0,1,2,0,0,1,7761,2,3
51,100,51,1968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1972,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7761,2,3
51,100,51,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1974,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1976,0,0,0,5,5,0,0,1,0,0,0,0,0,1,6,0,0,19,7761,2,3
51,100,51,1977,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,15,7761,2,3
51,100,51,1978,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,7761,2,3
51,100,51,1979,0,8,1,4,2,0,1,0,2,0,0,0,0,0,0,0,0,7,7761,2,3
51,100,51,1980,0,2,0,6,8,0,1,0,2,0,1,0,0,1,3,0,0,866,7761,2,3
51,100,51,1981,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
51,100,51,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7761,2,3
52,100,52,1963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1966,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,7761,2,3
52,100,52,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1968,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7761,2,3
52,100,52,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1970,0,0,0,2,2,0,0,0,1,0,0,1,0,0,4,0,2,2,7761,2,3
52,100,52,1971,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,7761,2,3
52,100,52,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7761,2,3
52,100,52,1973,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1976,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,7761,2,3
52,100,52,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1978,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
52,100,52,1980,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,7761,2,3
52,100,52,1981,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,7761,2,3
52,100,52,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
53,100,53,1966,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7761,2,3
53,100,53,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
53,100,53,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
53,100,53,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
53,100,53,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
53,100,53,1971,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7761,2,3
53,100,53,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7761,2,3
