"country","ccode","year","torture"
"Afghanistan",700,1985,5
"Albania",339,1985,3
"Algeria",615,1985,1
"Angola",540,1985,3
"Argentina",160,1985,2
"Armenia",371,1985,2
"Australia",900,1985,1
"Austria",305,1985,1
"Azerbaijan",373,1985,3
"Bahrain",692,1985,2
"Bangladesh",771,1985,3
"Belarus",370,1985,2
"Belgium",211,1985,1
"Benin",434,1985,3
"Bhutan",760,1985,1
"Bolivia",145,1985,2
"Bosnia and Herzegovina",346,1985,NA
"Botswana",571,1985,1
"Brazil",140,1985,5
"Bulgaria",355,1985,3
"Burkina Faso",439,1985,3
"Burundi",516,1985,2
"Cambodia",811,1985,5
"Cameroon",471,1985,2
"Canada",20,1985,1
"Central African Repbulic",482,1985,3
"Chad",483,1985,5
"Chile",155,1985,4
"China",710,1985,1
"Colombia",100,1985,3
"Comoros",581,1985,3
"Congo, Republic of",484,1985,3
"Congo, Democratic Republic of",490,1985,5
"Costa Rica",94,1985,1
"ivory Coast",437,1985,2
"Croatia",344,1985,NA
"Cuba",40,1985,4
"Cyprus",352,1985,1
"Czechoslovakia",315,1985,3
"Czech Republic",316,1985,NA
"Denmark",390,1985,1
"Djibouti",522,1985,3
"Dominican Republic",42,1985,2
"Ecuador",130,1985,3
"Egypt",651,1985,3
"El Salvador",92,1985,4
"Equatorial Guinea",411,1985,3
"Eritrea",531,1985,NA
"Estonia",366,1985,4
"Ethiopia",530,1985,4
"Fiji",950,1985,1
"Finland",375,1985,1
"France",220,1985,1
"Gabon",481,1985,2
"Gambia",420,1985,2
"Georgia",372,1985,NA
"Germany",255,1985,NA
"Germany, East",265,1985,NA
"Germany, West",260,1985,1
"Ghana",452,1985,3
"Greece",350,1985,2
"Guatemala",90,1985,4
"Guinea",438,1985,2
"Guinea-Bissau",404,1985,4
"Guyana",110,1985,3
"Haiti",41,1985,3
"Honduras",91,1985,2
"Hungary",310,1985,1
"iceland",395,1985,1
"india",750,1985,3
"indonesia",850,1985,3
"iran",630,1985,5
"iraq",645,1985,5
"ireland",205,1985,2
"israel",666,1985,1
"italy",325,1985,1
"Jamaica",51,1985,2
"Japan",740,1985,1
"Jordan",663,1985,2
"Kazakhstan",705,1985,NA
"Kenya",501,1985,3
"South Korea",732,1985,3
"North Korea",731,1985,4
"Kuwait",690,1985,2
"Kyrgyzstan",703,1985,NA
"Laos",812,1985,2
"Latvia",367,1985,4
"Lebanon",660,1985,3
"Lesotho",570,1985,2
"Liberia",450,1985,3
"Libya",620,1985,4
"Lithuania",368,1985,4
"Luxembourg",212,1985,1
"Macedonia",343,1985,NA
"Madagascar",580,1985,3
"Malawi",553,1985,2
"Malaysia",820,1985,1
"Mali",432,1985,3
"Mauritania",435,1985,3
"Mauritius",590,1985,1
"Mexico",70,1985,3
"Moldova",359,1985,NA
"Mongolia",712,1985,NA
"Morocco",600,1985,3
"Mozambique",541,1985,4
"Myanmar",775,1985,3
"Namibia",565,1985,3
"Nepal",790,1985,3
"Netherlands",210,1985,1
"New Zealand",920,1985,1
"Nicaragua",93,1985,4
"Niger",436,1985,3
"Nigeria",475,1985,3
"Norway",385,1985,1
"Oman",698,1985,1
"Pakistan",770,1985,5
"Panama",95,1985,2
"Papua New Guinea",910,1985,1
"Paraguay",150,1985,4
"Peru",135,1985,4
"Philippines",840,1985,4
"Poland",290,1985,3
"Portugal",235,1985,1
"Qatar",694,1985,2
"Romania",360,1985,4
"Russia",365,1985,4
"Rwanda",517,1985,3
"Saudi Arabia",670,1985,3
"Senegal",433,1985,3
"Sierra Leone",451,1985,3
"Singapore",830,1985,2
"Slovak Republic",317,1985,NA
"Slovenia",349,1985,NA
"Somalia",520,1985,3
"South Africa",560,1985,3
"Spain",230,1985,3
"Sri Lanka",780,1985,3
"Sudan",625,1985,1
"Swaziland",572,1985,2
"Sweden",380,1985,1
"Switzerland",225,1985,1
"Syria",652,1985,5
"Tajikistan",702,1985,NA
"Tanzania",510,1985,3
"Thailand",800,1985,2
"Togo",461,1985,4
"Tonga",955,1985,NA
"Tunisia",616,1985,2
"Turkey",640,1985,5
"Turkmenistan",701,1985,NA
"Uganda",500,1985,4
"Ukraine",369,1985,NA
"United Arab Emirates",696,1985,1
"United Kingdom",200,1985,3
"Uruguay",165,1985,1
"Uzbekistan",704,1985,NA
"Venezuela",101,1985,2
"Vietnam",816,1985,4
"Yemen, North",678,1985,3
"Yemen",679,1985,NA
"Yemen, South",680,1985,3
"Yugoslavia",345,1985,3
"Zambia",551,1985,3
"Zimbabwe",552,1985,4
"Afghanistan",700,1986,5
"Albania",339,1986,3
"Algeria",615,1986,3
"Angola",540,1986,3
"Argentina",160,1986,2
"Armenia",371,1986,2
"Australia",900,1986,1
"Austria",305,1986,1
"Azerbaijan",373,1986,2
"Bahrain",692,1986,3
"Bangladesh",771,1986,3
"Belarus",370,1986,2
"Belgium",211,1986,2
"Benin",434,1986,3
"Bhutan",760,1986,1
"Bolivia",145,1986,2
"Bosnia and Herzegovina",346,1986,NA
"Botswana",571,1986,1
"Brazil",140,1986,5
"Bulgaria",355,1986,2
"Burkina Faso",439,1986,2
"Burundi",516,1986,2
"Cambodia",811,1986,4
"Cameroon",471,1986,3
"Canada",20,1986,1
"Central African Repbulic",482,1986,2
"Chad",483,1986,4
"Chile",155,1986,3
"China",710,1986,3
"Colombia",100,1986,3
"Comoros",581,1986,3
"Congo, Republic of",484,1986,3
"Congo, Democratic Republic of",490,1986,5
"Costa Rica",94,1986,1
"ivory Coast",437,1986,2
"Croatia",344,1986,NA
"Cuba",40,1986,4
"Cyprus",352,1986,1
"Czechoslovakia",315,1986,3
"Czech Republic",316,1986,NA
"Denmark",390,1986,1
"Djibouti",522,1986,2
"Dominican Republic",42,1986,2
"Ecuador",130,1986,2
"Egypt",651,1986,3
"El Salvador",92,1986,3
"Equatorial Guinea",411,1986,3
"Eritrea",531,1986,NA
"Estonia",366,1986,4
"Ethiopia",530,1986,4
"Fiji",950,1986,1
"Finland",375,1986,1
"France",220,1986,1
"Gabon",481,1986,2
"Gambia",420,1986,2
"Georgia",372,1986,NA
"Germany",255,1986,NA
"Germany, East",265,1986,NA
"Germany, West",260,1986,1
"Ghana",452,1986,3
"Greece",350,1986,1
"Guatemala",90,1986,3
"Guinea",438,1986,2
"Guinea-Bissau",404,1986,3
"Guyana",110,1986,3
"Haiti",41,1986,2
"Honduras",91,1986,2
"Hungary",310,1986,2
"iceland",395,1986,1
"india",750,1986,4
"indonesia",850,1986,3
"iran",630,1986,5
"iraq",645,1986,5
"ireland",205,1986,2
"israel",666,1986,1
"italy",325,1986,2
"Jamaica",51,1986,3
"Japan",740,1986,1
"Jordan",663,1986,2
"Kazakhstan",705,1986,NA
"Kenya",501,1986,3
"South Korea",732,1986,3
"North Korea",731,1986,4
"Kuwait",690,1986,3
"Kyrgyzstan",703,1986,NA
"Laos",812,1986,2
"Latvia",367,1986,4
"Lebanon",660,1986,2
"Lesotho",570,1986,2
"Liberia",450,1986,3
"Libya",620,1986,3
"Lithuania",368,1986,4
"Luxembourg",212,1986,1
"Macedonia",343,1986,NA
"Madagascar",580,1986,3
"Malawi",553,1986,2
"Malaysia",820,1986,1
"Mali",432,1986,3
"Mauritania",435,1986,1
"Mauritius",590,1986,1
"Mexico",70,1986,3
"Moldova",359,1986,NA
"Mongolia",712,1986,NA
"Morocco",600,1986,4
"Mozambique",541,1986,3
"Myanmar",775,1986,3
"Namibia",565,1986,3
"Nepal",790,1986,4
"Netherlands",210,1986,1
"New Zealand",920,1986,1
"Nicaragua",93,1986,3
"Niger",436,1986,2
"Nigeria",475,1986,1
"Norway",385,1986,1
"Oman",698,1986,1
"Pakistan",770,1986,3
"Panama",95,1986,2
"Papua New Guinea",910,1986,1
"Paraguay",150,1986,4
"Peru",135,1986,4
"Philippines",840,1986,4
"Poland",290,1986,3
"Portugal",235,1986,2
"Qatar",694,1986,2
"Romania",360,1986,3
"Russia",365,1986,4
"Rwanda",517,1986,1
"Saudi Arabia",670,1986,2
"Senegal",433,1986,2
"Sierra Leone",451,1986,3
"Singapore",830,1986,1
"Slovak Republic",317,1986,NA
"Slovenia",349,1986,NA
"Somalia",520,1986,3
"South Africa",560,1986,4
"Spain",230,1986,3
"Sri Lanka",780,1986,3
"Sudan",625,1986,3
"Swaziland",572,1986,2
"Sweden",380,1986,1
"Switzerland",225,1986,1
"Syria",652,1986,5
"Tajikistan",702,1986,NA
"Tanzania",510,1986,4
"Thailand",800,1986,3
"Togo",461,1986,5
"Tonga",955,1986,1
"Tunisia",616,1986,2
"Turkey",640,1986,5
"Turkmenistan",701,1986,NA
"Uganda",500,1986,3
"Ukraine",369,1986,NA
"United Arab Emirates",696,1986,1
"United Kingdom",200,1986,2
"Uruguay",165,1986,2
"Uzbekistan",704,1986,NA
"Venezuela",101,1986,2
"Vietnam",816,1986,4
"Yemen, North",678,1986,3
"Yemen",679,1986,NA
"Yemen, South",680,1986,3
"Yugoslavia",345,1986,2
"Zambia",551,1986,3
"Zimbabwe",552,1986,4
"Afghanistan",700,1987,5
"Albania",339,1987,3
"Algeria",615,1987,3
"Angola",540,1987,3
"Argentina",160,1987,2
"Armenia",371,1987,1
"Australia",900,1987,1
"Austria",305,1987,2
"Azerbaijan",373,1987,2
"Bahrain",692,1987,3
"Bangladesh",771,1987,3
"Belarus",370,1987,3
"Belgium",211,1987,1
"Benin",434,1987,3
"Bhutan",760,1987,1
"Bolivia",145,1987,3
"Bosnia and Herzegovina",346,1987,NA
"Botswana",571,1987,2
"Brazil",140,1987,5
"Bulgaria",355,1987,3
"Burkina Faso",439,1987,3
"Burundi",516,1987,2
"Cambodia",811,1987,4
"Cameroon",471,1987,1
"Canada",20,1987,1
"Central African Repbulic",482,1987,2
"Chad",483,1987,2
"Chile",155,1987,3
"China",710,1987,3
"Colombia",100,1987,3
"Comoros",581,1987,3
"Congo, Republic of",484,1987,3
"Congo, Democratic Republic of",490,1987,4
"Costa Rica",94,1987,1
"ivory Coast",437,1987,2
"Croatia",344,1987,NA
"Cuba",40,1987,4
"Cyprus",352,1987,1
"Czechoslovakia",315,1987,2
"Czech Republic",316,1987,NA
"Denmark",390,1987,1
"Djibouti",522,1987,1
"Dominican Republic",42,1987,2
"Ecuador",130,1987,3
"Egypt",651,1987,3
"El Salvador",92,1987,3
"Equatorial Guinea",411,1987,4
"Eritrea",531,1987,NA
"Estonia",366,1987,4
"Ethiopia",530,1987,4
"Fiji",950,1987,3
"Finland",375,1987,1
"France",220,1987,1
"Gabon",481,1987,1
"Gambia",420,1987,2
"Georgia",372,1987,NA
"Germany",255,1987,NA
"Germany, East",265,1987,NA
"Germany, West",260,1987,2
"Ghana",452,1987,3
"Greece",350,1987,3
"Guatemala",90,1987,3
"Guinea",438,1987,2
"Guinea-Bissau",404,1987,2
"Guyana",110,1987,2
"Haiti",41,1987,3
"Honduras",91,1987,3
"Hungary",310,1987,1
"iceland",395,1987,1
"india",750,1987,4
"indonesia",850,1987,4
"iran",630,1987,5
"iraq",645,1987,5
"ireland",205,1987,2
"israel",666,1987,4
"italy",325,1987,3
"Jamaica",51,1987,3
"Japan",740,1987,1
"Jordan",663,1987,3
"Kazakhstan",705,1987,NA
"Kenya",501,1987,3
"South Korea",732,1987,3
"North Korea",731,1987,4
"Kuwait",690,1987,3
"Kyrgyzstan",703,1987,NA
"Laos",812,1987,3
"Latvia",367,1987,4
"Lebanon",660,1987,3
"Lesotho",570,1987,2
"Liberia",450,1987,3
"Libya",620,1987,4
"Lithuania",368,1987,4
"Luxembourg",212,1987,1
"Macedonia",343,1987,NA
"Madagascar",580,1987,3
"Malawi",553,1987,3
"Malaysia",820,1987,2
"Mali",432,1987,3
"Mauritania",435,1987,3
"Mauritius",590,1987,1
"Mexico",70,1987,3
"Moldova",359,1987,NA
"Mongolia",712,1987,NA
"Morocco",600,1987,3
"Mozambique",541,1987,3
"Myanmar",775,1987,3
"Namibia",565,1987,2
"Nepal",790,1987,5
"Netherlands",210,1987,1
"New Zealand",920,1987,1
"Nicaragua",93,1987,4
"Niger",436,1987,2
"Nigeria",475,1987,2
"Norway",385,1987,1
"Oman",698,1987,1
"Pakistan",770,1987,3
"Panama",95,1987,4
"Papua New Guinea",910,1987,1
"Paraguay",150,1987,3
"Peru",135,1987,5
"Philippines",840,1987,4
"Poland",290,1987,4
"Portugal",235,1987,2
"Qatar",694,1987,1
"Romania",360,1987,3
"Russia",365,1987,4
"Rwanda",517,1987,1
"Saudi Arabia",670,1987,4
"Senegal",433,1987,2
"Sierra Leone",451,1987,3
"Singapore",830,1987,3
"Slovak Republic",317,1987,NA
"Slovenia",349,1987,NA
"Somalia",520,1987,4
"South Africa",560,1987,4
"Spain",230,1987,3
"Sri Lanka",780,1987,3
"Sudan",625,1987,3
"Swaziland",572,1987,2
"Sweden",380,1987,1
"Switzerland",225,1987,1
"Syria",652,1987,4
"Tajikistan",702,1987,NA
"Tanzania",510,1987,3
"Thailand",800,1987,3
"Togo",461,1987,4
"Tonga",955,1987,1
"Tunisia",616,1987,3
"Turkey",640,1987,5
"Turkmenistan",701,1987,NA
"Uganda",500,1987,3
"Ukraine",369,1987,NA
"United Arab Emirates",696,1987,1
"United Kingdom",200,1987,1
"Uruguay",165,1987,1
"Uzbekistan",704,1987,NA
"Venezuela",101,1987,3
"Vietnam",816,1987,3
"Yemen, North",678,1987,3
"Yemen",679,1987,NA
"Yemen, South",680,1987,3
"Yugoslavia",345,1987,2
"Zambia",551,1987,3
"Zimbabwe",552,1987,3
"Afghanistan",700,1988,5
"Albania",339,1988,2
"Algeria",615,1988,4
"Angola",540,1988,3
"Argentina",160,1988,3
"Armenia",371,1988,2
"Australia",900,1988,1
"Austria",305,1988,1
