cowccode,iso3numeric,iso3alpha,year,LoT,RstrctAccess
2,840,USA,1995,Widespread,Yes
2,840,USA,1996,Widespread,Yes
2,840,USA,1997,Widespread,Yes
2,840,USA,1998,Systematic,Yes
2,840,USA,1999,Systematic,No
2,840,USA,2000,Systematic,No
2,840,USA,2001,Systematic,No
2,840,USA,2002,Systematic,No
2,840,USA,2003,Systematic,No
2,840,USA,2004,Systematic,No
2,840,USA,2005,Systematic,No
20,124,CAN,1995,No Allegations,No
20,124,CAN,1996,No Allegations,No
20,124,CAN,1997,No Allegations,No
20,124,CAN,1998,No Allegations,No
20,124,CAN,1999,No Allegations,No
20,124,CAN,2000,Infrequent,No
20,124,CAN,2001,Infrequent,No
20,124,CAN,2002,No Allegations,No
20,124,CAN,2003,Systematic,No
20,124,CAN,2004,Several,No
20,124,CAN,2005,No Allegations,No
40,192,CUB,1995,Routinely,Yes
40,192,CUB,1996,Routinely,Yes
40,192,CUB,1997,Routinely,Yes
40,192,CUB,1998,Systematic,Yes
40,192,CUB,1999,Routinely,Yes
40,192,CUB,2000,Several,No
40,192,CUB,2001,Several,No
40,192,CUB,2002,Several,No
40,192,CUB,2003,Several,No
40,192,CUB,2004,Several,No
40,192,CUB,2005,Several,No
41,332,HTI,1995,"Allegation, No LoT",No
41,332,HTI,1996,Infrequent,No
41,332,HTI,1997,Routinely,No
41,332,HTI,1998,"Allegation, No LoT",No
41,332,HTI,1999,"Allegation, No LoT",No
41,332,HTI,2000,Routinely,No
41,332,HTI,2001,Routinely,No
41,332,HTI,2002,Improved,No
41,332,HTI,2003,Routinely,No
41,332,HTI,2004,Routinely,No
41,332,HTI,2005,No Allegations,No
42,214,DOM,1995,"Allegation, No LoT",No
42,214,DOM,1996,"Allegation, No LoT",No
42,214,DOM,1997,No Allegations,No
42,214,DOM,1998,"Allegation, No LoT",No
42,214,DOM,1999,"Allegation, No LoT",No
42,214,DOM,2000,Systematic,No
42,214,DOM,2001,"Allegation, No LoT",No
42,214,DOM,2002,No Allegations,No
42,214,DOM,2003,No Allegations,No
42,214,DOM,2004,Infrequent,No
42,214,DOM,2005,No Allegations,No
51,388,JAM,1995,"Allegation, No LoT",No
51,388,JAM,1996,"Allegation, No LoT",No
51,388,JAM,1997,"Allegation, No LoT",No
51,388,JAM,1998,"Allegation, No LoT",No
51,388,JAM,1999,"Allegation, No LoT",No
51,388,JAM,2000,Widespread,No
51,388,JAM,2001,Widespread,No
51,388,JAM,2002,Systematic,No
51,388,JAM,2003,Several,No
51,388,JAM,2004,Routinely,No
51,388,JAM,2005,Routinely,No
52,780,TTO,1995,No Allegations,No
52,780,TTO,1996,No Allegations,No
52,780,TTO,1997,"Allegation, No LoT",No
52,780,TTO,1998,"Allegation, No LoT",No
52,780,TTO,1999,"Allegation, No LoT",No
52,780,TTO,2000,Several,No
52,780,TTO,2001,Several,No
52,780,TTO,2002,Several,No
52,780,TTO,2003,Several,No
52,780,TTO,2004,Several,No
52,780,TTO,2005,Several,No
70,484,MEX,1995,Systematic,No
70,484,MEX,1996,Systematic,No
70,484,MEX,1997,Systematic,No
70,484,MEX,1998,Systematic,Yes
70,484,MEX,1999,Widespread,Yes
70,484,MEX,2000,Widespread,No
70,484,MEX,2001,Widespread,No
70,484,MEX,2002,Widespread,No
70,484,MEX,2003,Systematic,No
70,484,MEX,2004,Systematic,No
70,484,MEX,2005,Widespread,No
90,320,GTM,1995,Several,No
90,320,GTM,1996,Routinely,No
90,320,GTM,1997,"Allegation, No LoT",No
90,320,GTM,1998,No Allegations,No
90,320,GTM,1999,"Allegation, No LoT",No
90,320,GTM,2000,Infrequent,No
90,320,GTM,2001,No Allegations,No
90,320,GTM,2002,No Allegations,No
90,320,GTM,2003,No Allegations,No
90,320,GTM,2004,No Allegations,No
90,320,GTM,2005,No Allegations,No
91,340,HND,1995,No Allegations,No
91,340,HND,1996,"Allegation, No LoT",No
91,340,HND,1997,No Allegations,No
91,340,HND,1998,"Allegation, No LoT",No
91,340,HND,1999,No Allegations,No
91,340,HND,2000,"Allegation, No LoT",No
91,340,HND,2001,"Allegation, No LoT",No
91,340,HND,2002,No Allegations,No
91,340,HND,2003,"Allegation, No LoT",No
91,340,HND,2004,No Allegations,No
91,340,HND,2005,No Allegations,No
92,222,SLV,1995,No Allegations,No
92,222,SLV,1996,"Allegation, No LoT",No
92,222,SLV,1997,No Allegations,No
92,222,SLV,1998,No Allegations,No
92,222,SLV,1999,"Allegation, No LoT",No
92,222,SLV,2000,Several,No
92,222,SLV,2001,"Allegation, No LoT",No
92,222,SLV,2002,No Allegations,No
92,222,SLV,2003,No Allegations,No
92,222,SLV,2004,No Allegations,No
92,222,SLV,2005,No Allegations,No
93,558,NIC,1995,No Allegations,No
93,558,NIC,1996,"Allegation, No LoT",No
93,558,NIC,1997,No Allegations,No
93,558,NIC,1998,No Allegations,No
93,558,NIC,1999,"Allegation, No LoT",No
93,558,NIC,2000,"Allegation, No LoT",No
93,558,NIC,2001,"Allegation, No LoT",No
93,558,NIC,2002,"Allegation, No LoT",No
93,558,NIC,2003,No Allegations,No
93,558,NIC,2004,No Allegations,No
93,558,NIC,2005,No Allegations,No
94,188,CRI,1995,No Allegations,No
94,188,CRI,1996,No Allegations,No
94,188,CRI,1997,No Allegations,No
94,188,CRI,1998,No Allegations,No
94,188,CRI,1999,No Allegations,No
94,188,CRI,2000,No Allegations,No
94,188,CRI,2001,No Allegations,No
94,188,CRI,2002,No Allegations,No
94,188,CRI,2003,No Allegations,No
94,188,CRI,2004,No Allegations,No
94,188,CRI,2005,No Allegations,No
95,591,PAN,1995,"Allegation, No LoT",No
95,591,PAN,1996,Several,No
95,591,PAN,1997,Several,No
95,591,PAN,1998,No Allegations,No
95,591,PAN,1999,No Allegations,No
95,591,PAN,2000,No Allegations,No
95,591,PAN,2001,No Allegations,No
95,591,PAN,2002,No Allegations,No
95,591,PAN,2003,No Allegations,No
95,591,PAN,2004,No Allegations,No
95,591,PAN,2005,"Allegation, No LoT",No
100,170,COL,1995,Systematic,No
100,170,COL,1996,Systematic,No
100,170,COL,1997,Systematic,No
100,170,COL,1998,Systematic,No
100,170,COL,1999,Systematic,No
100,170,COL,2000,Systematic,No
100,170,COL,2001,Systematic,No
100,170,COL,2002,Systematic,No
100,170,COL,2003,Systematic,No
100,170,COL,2004,Systematic,No
100,170,COL,2005,Systematic,Yes
101,862,VEN,1995,Systematic,No
101,862,VEN,1996,Systematic,No
101,862,VEN,1997,Systematic,No
101,862,VEN,1998,Widespread,No
101,862,VEN,1999,Widespread,No
101,862,VEN,2000,Systematic,No
101,862,VEN,2001,Systematic,No
101,862,VEN,2002,Systematic,No
101,862,VEN,2003,Systematic,No
101,862,VEN,2004,Systematic,No
101,862,VEN,2005,No Allegations,No
110,328,GUY,1995,No Allegations,No
110,328,GUY,1996,"Allegation, No LoT",No
110,328,GUY,1997,Continued,No
110,328,GUY,1998,"Allegation, No LoT",No
110,328,GUY,1999,"Allegation, No LoT",No
110,328,GUY,2000,"Allegation, No LoT",No
110,328,GUY,2001,Systematic,No
110,328,GUY,2002,"Allegation, No LoT",No
110,328,GUY,2003,"Allegation, No LoT",No
110,328,GUY,2004,"Allegation, No LoT",No
110,328,GUY,2005,No Allegations,No
115,740,SUR,1995,No Allegations,No
115,740,SUR,1996,No Allegations,No
115,740,SUR,1997,No Allegations,No
115,740,SUR,1998,No Allegations,No
115,740,SUR,1999,No Allegations,No
115,740,SUR,2000,"Allegation, No LoT",No
115,740,SUR,2001,"Allegation, No LoT",No
115,740,SUR,2002,Several,No
115,740,SUR,2003,"Allegation, No LoT",No
115,740,SUR,2004,No Allegations,No
115,740,SUR,2005,No Allegations,No
130,218,ECU,1995,Systematic,No
130,218,ECU,1996,Systematic,No
130,218,ECU,1997,Systematic,No
130,218,ECU,1998,Systematic,No
130,218,ECU,1999,Several,No
130,218,ECU,2000,Widespread,No
130,218,ECU,2001,Widespread,No
130,218,ECU,2002,Widespread,No
130,218,ECU,2003,Widespread,No
130,218,ECU,2004,Widespread,No
130,218,ECU,2005,No Allegations,No
135,604,PER,1995,Systematic,No
135,604,PER,1996,Systematic,No
135,604,PER,1997,Systematic,Yes
135,604,PER,1998,Systematic,Yes
135,604,PER,1999,Systematic,No
135,604,PER,2000,Systematic,No
135,604,PER,2001,Systematic,No
135,604,PER,2002,Widespread,No
135,604,PER,2003,Widespread,No
135,604,PER,2004,Several,No
135,604,PER,2005,Several,No
140,76,BRA,1995,Widespread,No
140,76,BRA,1996,Systematic,No
140,76,BRA,1997,Widespread,No
140,76,BRA,1998,Systematic,Yes
140,76,BRA,1999,Widespread,Yes
140,76,BRA,2000,Systematic,Yes
140,76,BRA,2001,Systematic,No
140,76,BRA,2002,Systematic,No
140,76,BRA,2003,Systematic,No
140,76,BRA,2004,Systematic,No
140,76,BRA,2005,Systematic,Yes
145,68,BOL,1995,No Allegations,No
145,68,BOL,1996,Several,No
145,68,BOL,1997,Several,No
145,68,BOL,1998,"Allegation, No LoT",No
145,68,BOL,1999,No Allegations,No
145,68,BOL,2000,Widespread,No
145,68,BOL,2001,No Allegations,No
145,68,BOL,2002,No Allegations,No
145,68,BOL,2003,No Allegations,No
145,68,BOL,2004,No Allegations,No
145,68,BOL,2005,No Allegations,No
150,600,PRY,1995,Routinely,No
150,600,PRY,1996,Systematic,No
150,600,PRY,1997,Routinely,No
150,600,PRY,1998,Routinely,No
150,600,PRY,1999,Systematic,No
150,600,PRY,2000,Systematic,No
150,600,PRY,2001,Systematic,No
150,600,PRY,2002,Systematic,No
150,600,PRY,2003,Several,No
150,600,PRY,2004,Increased/Worsening,No
150,600,PRY,2005,Systematic,No
155,152,CHL,1995,"Allegation, No LoT",No
155,152,CHL,1996,"Allegation, No LoT",No
155,152,CHL,1997,Routinely,No
155,152,CHL,1998,Systematic,No
155,152,CHL,1999,Systematic,No
155,152,CHL,2000,Several,No
155,152,CHL,2001,Several,No
155,152,CHL,2002,"Allegation, No LoT",No
155,152,CHL,2003,Widespread,No
155,152,CHL,2004,Widespread,No
155,152,CHL,2005,No Allegations,No
160,32,ARG,1995,Several,No
160,32,ARG,1996,Systematic,No
160,32,ARG,1997,Routinely,No
160,32,ARG,1998,Several,No
160,32,ARG,1999,Several,No
160,32,ARG,2000,Systematic,No
160,32,ARG,2001,Systematic,No
160,32,ARG,2002,Systematic,No
160,32,ARG,2003,Systematic,No
160,32,ARG,2004,Systematic,No
160,32,ARG,2005,Systematic,No
165,858,URY,1995,No Allegations,No
165,858,URY,1996,No Allegations,No
165,858,URY,1997,No Allegations,No
165,858,URY,1998,No Allegations,No
165,858,URY,1999,No Allegations,No
165,858,URY,2000,No Allegations,No
165,858,URY,2001,No Allegations,No
165,858,URY,2002,No Allegations,No
165,858,URY,2003,No Allegations,No
165,858,URY,2004,No Allegations,No
165,858,URY,2005,No Allegations,No
200,826,GBR,1995,Systematic,No
200,826,GBR,1996,Systematic,No
200,826,GBR,1997,Systematic,No
200,826,GBR,1998,Systematic,No
200,826,GBR,1999,Systematic,No
200,826,GBR,2000,Systematic,No
200,826,GBR,2001,Systematic,No
200,826,GBR,2002,Systematic,No
200,826,GBR,2003,Systematic,No
200,826,GBR,2004,Systematic,No
200,826,GBR,2005,Systematic,No
205,372,IRL,1995,No Allegations,No
205,372,IRL,1996,"Allegation, No LoT",No
205,372,IRL,1997,No Allegations,No
205,372,IRL,1998,No Allegations,No
205,372,IRL,1999,No Allegations,No
205,372,IRL,2000,Several,No
205,372,IRL,2001,"Allegation, No LoT",Yes
205,372,IRL,2002,No Allegations,No
205,372,IRL,2003,"Allegation, No LoT",No
205,372,IRL,2004,No Allegations,No
205,372,IRL,2005,"Allegation, No LoT",No
210,528,NLD,1995,"Allegation, No LoT",No
210,528,NLD,1996,"Allegation, No LoT",No
210,528,NLD,1997,"Allegation, No LoT",No
210,528,NLD,1998,No Allegations,No
210,528,NLD,1999,No Allegations,No
210,528,NLD,2000,"Allegation, No LoT",No
210,528,NLD,2001,No Allegations,No
210,528,NLD,2002,No Allegations,No
210,528,NLD,2003,"Allegation, No LoT",No
210,528,NLD,2004,No Allegations,No
210,528,NLD,2005,No Allegations,No
211,56,BEL,1995,No Allegations,No
211,56,BEL,1996,No Allegations,No
211,56,BEL,1997,Widespread,No
211,56,BEL,1998,Widespread,No
211,56,BEL,1999,Several,No
211,56,BEL,2000,Routinely,No
211,56,BEL,2001,Several,No
211,56,BEL,2002,Several,No
211,56,BEL,2003,Widespread,No
211,56,BEL,2004,Several,No
211,56,BEL,2005,Several,No
