"","YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","HRW","hathaway","ITT","genocide","rummel","massive_repression","executions","negative_sanctions","mass_killing","killing_low","killing_best","killing_high","killing_present","COW_YEAR","id","theta_mean","theta_sd"
"1",1946,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1946",826,-1.02348834605874,0.43286605614167
"2",1947,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1947",827,-1.11724345602267,0.384267248149058
"3",1948,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,"2-1948",828,-1.22639784146983,0.339760290815495
"4",1949,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1949",829,-1.40993730385394,0.26194746942442
"5",1950,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1950",830,-1.50519727076076,0.239772334240621
"6",1951,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1951",831,-1.55063363877973,0.233002002255681
"7",1952,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1952",832,-1.58978639679514,0.227047484981537
"8",1953,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,NA,"2-1953",833,-1.62003867202634,0.225249735334969
"9",1954,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1954",834,-1.60664707487249,0.22591785332225
"10",1955,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1955",835,-1.59706870700566,0.227159227214053
"11",1956,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1956",836,-1.58709401660233,0.235128328659206
"12",1957,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1957",837,-1.59367755177755,0.234239505963506
