"CTRY","YEAR","CIRI","COW","ASSN","FORMOV","DOMMOV","SPEECH","ELECSD","NEW_RELFRE","WORKER","additive","latentmean","latentsd"
"Afghanistan",1981,101,700,0,1,0,0,0,1,0,2,-1.57706684953147,0.272864446374715
"Afghanistan",1982,101,700,0,0,0,0,0,1,0,1,-1.64992524209623,0.251335463089311
"Afghanistan",1983,101,700,0,0,0,0,0,0,0,0,-1.69886654990388,0.24332169892646
"Afghanistan",1984,101,700,0,0,0,0,1,0,0,1,-1.67116354912611,0.239206484855248
"Afghanistan",1985,101,700,0,0,0,0,0,0,0,0,-1.67010742813709,0.235441729580119
"Afghanistan",1986,101,700,0,0,0,0,0,1,0,1,-1.59287730905697,0.230094071362398
"Afghanistan",1987,101,700,0,0,0,0,1,2,0,3,-1.47908775548043,0.22429108458466
"Afghanistan",1988,101,700,0,0,0,0,0,2,0,2,-1.43570712312029,0.220623114077218
"Afghanistan",1989,101,700,0,0,1,0,0,2,0,3,-1.35066163191738,0.213599914215483
"Afghanistan",1990,101,700,0,0,1,0,0,1,0,2,-1.29761534930597,0.207426177308094
"Afghanistan",1991,101,700,0,0,2,0,0,1,0,3,-1.24000328874879,0.203526183127391
"Afghanistan",1996,101,700,0,1,1,1,0,0,0,3,-1.20931505152671,0.198754027691832
"Afghanistan",1997,101,700,0,1,1,1,0,0,0,3,-1.25213912869454,0.202302367261449
"Afghanistan",1998,101,700,0,0,0,0,0,0,0,0,-1.37869251037359,0.20740959273202
"Afghanistan",1999,101,700,0,1,0,1,0,0,0,2,-1.37165239408049,0.207784732376341
"Afghanistan",2000,101,700,0,0,1,0,0,0,0,1,-1.38879055892339,0.2107797650885
"Afghanistan",2001,101,700,0,0,0,0,0,0,0,0,-1.37168292927265,0.209583796853427
"Afghanistan",2002,101,700,0,0,0,1,1,0,0,2,-1.2241253320153,0.202218399352091
"Afghanistan",2005,101,700,1,0,0,0,1,0,0,2,-1.11164840016675,0.194685158273202
"Afghanistan",2006,101,700,1,0,0,0,1,0,0,2,-1.03655498027102,0.190076109359355
"Afghanistan",2007,101,700,1,1,0,0,1,0,0,3,-0.977268406843919,0.185738477246236
"Afghanistan",2008,101,700,1,1,1,0,0,0,0,3,-0.958942962726632,0.18688302786162
"Afghanistan",2009,101,700,0,0,1,0,1,0,0,2,-0.960610889144409,0.196137046106298
"Afghanistan",2010,101,700,1,0,1,0,1,0,0,3,-0.906918437358041,0.219144649078137
"Albania",1981,104,339,0,0,0,0,0,0,0,0,-1.98453827615722,0.316913107823885
"Albania",1982,104,339,0,0,0,0,0,0,0,0,-2.00160868848169,0.292627812853023
"Albania",1983,104,339,0,0,0,0,0,0,0,0,-1.97748196614639,0.275411866839571
"Albania",1984,104,339,0,0,0,1,0,0,0,1,-1.90587363892393,0.266070873199264
"Albania",1985,104,339,0,0,0,0,0,0,0,0,-1.87932916074868,0.258641819959435
"Albania",1986,104,339,0,0,0,0,0,0,0,0,-1.79648361365491,0.246265423122564
"Albania",1987,104,339,0,0,0,1,0,0,0,1,-1.65067166202818,0.232905206125391
"Albania",1988,104,339,0,0,0,0,0,0,0,0,-1.52050803854378,0.221321617043946
"Albania",1989,104,339,0,0,0,0,0,0,0,0,-1.28876957075136,0.204731567711045
"Albania",1990,104,339,0,0,0,1,1,0,0,2,-0.905671316299948,0.187564052256922
"Albania",1991,104,339,0,2,2,1,1,2,2,10,-0.463722771257846,0.177087446441491
"Albania",1992,104,339,1,2,2,1,1,1,1,9,-0.209615056628064,0.172765781148556
"Albania",1993,104,339,0,2,2,1,1,1,1,8,-0.0632263483875875,0.176010767898899
"Albania",1994,104,339,1,2,2,1,2,2,2,12,0.142566361905257,0.175632260056872
"Albania",1995,104,339,1,2,2,1,2,1,2,11,0.201680693115853,0.176135327563265
"Albania",1996,104,339,1,2,2,1,0,1,2,9,0.187604745584232,0.17473836824706
"Albania",1997,104,339,1,2,2,1,1,1,2,10,0.2654369606716,0.174600930233937
"Albania",1998,104,339,2,2,2,1,2,2,1,12,0.401917097855575,0.177000467995127
"Albania",1999,104,339,2,1,2,1,2,2,2,12,0.426244450793747,0.179779590425314
"Albania",2000,104,339,1,2,2,1,1,1,1,9,0.350152492167565,0.17734567186127
"Albania",2001,104,339,2,1,2,1,2,1,2,11,0.421321193447017,0.178347551278313
"Albania",2002,104,339,2,2,2,1,2,2,1,12,0.449920359506008,0.179789166510146
"Albania",2003,104,339,1,2,2,1,2,1,1,10,0.381293775082605,0.176297247314003
"Albania",2004,104,339,1,2,2,1,2,2,1,11,0.374202868137898,0.176267532146102
"Albania",2005,104,339,2,2,2,1,1,1,1,10,0.365355022317937,0.176623601661371
"Albania",2006,104,339,2,2,2,1,1,2,1,11,0.384932254500356,0.177621063531419
"Albania",2007,104,339,2,2,1,1,1,2,1,10,0.386670641851648,0.177494656610105
"Albania",2008,104,339,2,2,2,2,1,2,1,12,0.462472453450661,0.183606433736947
"Albania",2009,104,339,2,2,2,1,1,2,1,11,0.453007652949236,0.190512754291327
"Albania",2010,104,339,2,2,2,1,1,2,1,11,0.449896390231233,0.217751047672425
"Algeria",1981,107,615,0,1,1,1,1,2,0,6,-0.758134012076037,0.205996945483993
"Algeria",1982,107,615,0,1,1,0,0,2,0,4,-0.876071198449603,0.188449200148823
"Algeria",1983,107,615,0,1,1,0,0,2,0,4,-0.932995974400743,0.182238932542967
"Algeria",1984,107,615,0,1,1,0,1,1,0,4,-0.9517304912421,0.182548330534988
"Algeria",1985,107,615,0,1,1,0,0,0,0,2,-1.01309237266026,0.183353761999265
"Algeria",1986,107,615,0,1,1,0,0,1,0,3,-0.982291229249996,0.180047755603332
"Algeria",1987,107,615,0,1,1,0,1,2,0,5,-0.904791345235263,0.179336967085813
"Algeria",1988,107,615,0,1,1,0,0,1,0,3,-0.884657286782355,0.177839570075486
"Algeria",1989,107,615,0,2,1,1,0,1,1,6,-0.771954937897092,0.176563922415423
"Algeria",1990,107,615,0,2,1,1,1,1,0,6,-0.730452579132904,0.1728259060167
"Algeria",1991,107,615,0,1,1,1,0,0,1,4,-0.778987956627369,0.174377431355749
"Algeria",1992,107,615,0,1,1,0,0,0,1,3,-0.79958594677998,0.175101681384233
"Algeria",1993,107,615,1,1,1,0,1,1,1,6,-0.706185352201652,0.172600787587234
"Algeria",1994,107,615,1,1,1,0,0,0,1,4,-0.735379959241243,0.174443448702111
"Algeria",1995,107,615,0,1,1,0,0,1,0,3,-0.749142658589713,0.174469449724715
"Algeria",1996,107,615,1,1,1,1,1,0,1,6,-0.613793703991192,0.169901287191608
"Algeria",1997,107,615,1,1,1,1,0,1,1,6,-0.605773156385017,0.168783488412675
"Algeria",1998,107,615,0,1,1,0,0,1,1,4,-0.668047051034702,0.170873880545053
"Algeria",1999,107,615,0,1,1,1,1,1,1,6,-0.604165648600017,0.169788309367106
"Algeria",2000,107,615,0,2,1,1,0,1,2,7,-0.57781227218612,0.172031844138785
"Algeria",2001,107,615,0,2,1,1,1,1,1,7,-0.566001508926477,0.169918609486558
"Algeria",2002,107,615,0,2,1,1,1,1,0,6,-0.630759369527654,0.171469819136237
