"CTRY","YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","additive","latentmean","latentsd"
"Afghanistan",1981,101,700,0,0,0,0,0,-2.39995430398124,0.389055367238062
"Afghanistan",1982,101,700,0,0,0,0,0,-2.46526281576005,0.372389598680447
"Afghanistan",1983,101,700,0,0,0,0,0,-2.50897866420698,0.364000398870969
"Afghanistan",1984,101,700,0,0,0,0,0,-2.53860635714218,0.356179465464883
"Afghanistan",1985,101,700,0,0,0,0,0,-2.55128100726973,0.351617466078962
"Afghanistan",1986,101,700,0,0,0,0,0,-2.55157345513685,0.344026398028356
"Afghanistan",1987,101,700,0,0,0,0,0,-2.53297415522768,0.33967991438101
"Afghanistan",1988,101,700,0,0,0,0,0,-2.49809617961087,0.3323042252142
"Afghanistan",1989,101,700,0,0,0,0,0,-2.44849668329922,0.324710478101627
"Afghanistan",1990,101,700,0,0,0,0,0,-2.37949096540888,0.316518959128941
"Afghanistan",1991,101,700,0,0,0,1,1,-2.28783191590673,0.306416742404122
"Afghanistan",1996,101,700,0,0,0,0,0,-2.26870293986008,0.296107770645259
"Afghanistan",1997,101,700,0,0,0,0,0,-2.2180176830684,0.288352099689953
"Afghanistan",1998,101,700,0,0,0,0,0,-2.14123975087841,0.276935893126623
"Afghanistan",1999,101,700,0,0,0,0,0,-2.02348324323399,0.26565946679938
"Afghanistan",2000,101,700,0,0,0,0,0,-1.85557471099627,0.251282960847541
"Afghanistan",2001,101,700,0,0,0,0,0,-1.61602155500093,0.233160672097599
"Afghanistan",2002,101,700,1,1,0,1,3,-1.26269011641356,0.210621128156817
"Afghanistan",2005,101,700,2,1,1,0,4,-1.02395424512876,0.202823476710062
"Afghanistan",2006,101,700,2,1,1,0,4,-0.903397821187676,0.201838024533337
"Afghanistan",2007,101,700,2,1,1,0,4,-0.859640565103609,0.202251538624011
"Afghanistan",2008,101,700,2,0,1,0,3,-0.878597790989808,0.207479713052449
"Afghanistan",2009,101,700,2,1,1,0,4,-0.852643294047954,0.216667432736843
"Afghanistan",2010,101,700,2,0,1,0,3,-0.890941825464477,0.247626643947074
"Albania",1981,104,339,1,0,0,0,1,-1.35346906640117,0.251257248583904
"Albania",1982,104,339,2,0,0,0,2,-1.32638428672905,0.23144774415892
"Albania",1983,104,339,2,0,0,0,2,-1.29750321134314,0.222630267310932
"Albania",1984,104,339,1,0,0,0,1,-1.26430347659581,0.217539865078327
"Albania",1985,104,339,2,NA,0,0,NA,-1.1228812620962,0.224175070972321
"Albania",1986,104,339,2,NA,0,0,NA,-1.0009122318337,0.223131800051616
"Albania",1987,104,339,2,NA,0,1,NA,-0.883231162101428,0.222263730994109
"Albania",1988,104,339,2,NA,0,0,NA,-0.842260296804928,0.22072339050066
"Albania",1989,104,339,2,NA,0,0,NA,-0.774184949346746,0.216656308903574
"Albania",1990,104,339,2,1,0,0,3,-0.671291567226622,0.205044267540276
"Albania",1991,104,339,2,1,0,1,4,-0.503401498099086,0.201786987861594
"Albania",1992,104,339,2,2,1,1,6,-0.313497172502591,0.201085849969023
"Albania",1993,104,339,2,2,1,1,6,-0.231055060548077,0.202443243835422
"Albania",1994,104,339,2,2,2,1,7,-0.235646729350077,0.204967023005095
"Albania",1995,104,339,2,0,1,1,4,-0.386549457676376,0.20485703635123
"Albania",1996,104,339,2,1,1,0,4,-0.468736833385332,0.198181527480181
"Albania",1997,104,339,2,1,1,0,4,-0.490070422315686,0.197192646523502
"Albania",1998,104,339,2,1,1,1,5,-0.453594301783971,0.198557291500543
"Albania",1999,104,339,2,1,2,0,5,-0.443976327348538,0.201404767545257
"Albania",2000,104,339,2,1,0,0,3,-0.424150878703942,0.203369461875129
"Albania",2001,104,339,2,2,2,0,6,-0.274196399965435,0.206348503305926
"Albania",2002,104,339,2,2,2,0,6,-0.186508446759849,0.209471273814592
"Albania",2003,104,339,2,1,2,0,5,-0.144327166441232,0.21112733425475
"Albania",2004,104,339,2,1,2,1,6,-0.0194486622588742,0.212929806154287
"Albania",2005,104,339,2,2,2,1,7,0.130764092505958,0.217505374612995
"Albania",2006,104,339,2,2,2,0,6,0.20920576096055,0.225429250266493
"Albania",2007,104,339,2,2,2,1,7,0.315950864903383,0.234014459443759
"Albania",2008,104,339,2,2,2,1,7,0.384116228150425,0.242037368877993
"Albania",2009,104,339,2,2,2,1,7,0.425678774666731,0.26121870580958
"Albania",2010,104,339,2,2,2,1,7,0.447528103087805,0.293434329736259
"Algeria",1981,107,615,2,1,2,2,7,0.336436622183461,0.277655691195921
"Algeria",1982,107,615,2,2,2,2,8,0.352871537128579,0.252362442467114
"Algeria",1983,107,615,2,2,2,1,7,0.249297086192596,0.233457846095286
"Algeria",1984,107,615,2,1,1,1,5,0.0976166011508176,0.219717298702401
"Algeria",1985,107,615,2,2,1,2,7,0.0654445793742206,0.215346622095049
"Algeria",1986,107,615,2,2,1,1,6,-0.0580779113388951,0.207280487296474
"Algeria",1987,107,615,2,1,1,1,5,-0.2224014242179,0.202107360318104
"Algeria",1988,107,615,2,2,0,0,4,-0.343240226138002,0.204030584459393
"Algeria",1989,107,615,2,2,1,0,5,-0.431219297187775,0.202905400214848
"Algeria",1990,107,615,2,1,1,1,5,-0.560687008308871,0.197942223820793
