Country,COW,COW#,World Bank,Year,Amnesty,State Dept.
United States,USA,2,USA,1976,1, 
United States,USA,2,USA,1977,1,
United States,USA,2,USA,1978,1, 
United States,USA,2,USA,1979,1, 
United States,USA,2,USA,1980,1, 
United States,USA,2,USA,1981,1, 
United States,USA,2,USA,1982,1, 
United States,USA,2,USA,1983,1, 
United States,USA,2,USA,1984,1, 
United States,USA,2,USA,1985,1, 
United States,USA,2,USA,1986,1, 
United States,USA,2,USA,1987,2, 
United States,USA,2,USA,1988,1, 
United States,USA,2,USA,1989,1, 
United States,USA,2,USA,1990,1, 
United States,USA,2,USA,1991,2, 
United States,USA,2,USA,1992,2, 
United States,USA,2,USA,1993,1, 
United States,USA,2,USA,1994,1, 
United States,USA,2,USA,1995,1, 
United States,USA,2,USA,1996,1, 
United States,USA,2,USA,1997,1, 
United States,USA,2,USA,1998,1, 
United States,USA,2,USA,1999,1, 
United States,USA,2,USA,2000,1, 
United States,USA,2,USA,2001,2, 
United States,USA,2,USA,2002,2, 
United States,USA,2,USA,2003,2, 
United States,USA,2,USA,2004,3, 
United States,USA,2,USA,2005,3, 
United States,USA,2,USA,2006,3, 
United States,USA,2,USA,2007,3, 
United States,USA,2,USA,2008,3, 
United States,USA,2,USA,2009,3,
United States,USA,2,USA,2010,3,
United States,USA,2,USA,2011,3,
Canada,CAN,20,CAN,1976,1,1
Canada,CAN,20,CAN,1977, ,1
Canada,CAN,20,CAN,1978, ,1
Canada,CAN,20,CAN,1979, ,1
Canada,CAN,20,CAN,1980, ,1
Canada,CAN,20,CAN,1981, ,1
Canada,CAN,20,CAN,1982, ,1
Canada,CAN,20,CAN,1983,1,1
Canada,CAN,20,CAN,1984,1,1
Canada,CAN,20,CAN,1985, ,1
Canada,CAN,20,CAN,1986,1,1
Canada,CAN,20,CAN,1987,1,1
Canada,CAN,20,CAN,1988, ,1
Canada,CAN,20,CAN,1989, ,1
Canada,CAN,20,CAN,1990,1,1
Canada,CAN,20,CAN,1991,1,1
Canada,CAN,20,CAN,1992,1,1
Canada,CAN,20,CAN,1993,1,1
Canada,CAN,20,CAN,1994,1,1
Canada,CAN,20,CAN,1995, ,1
Canada,CAN,20,CAN,1996,1,1
Canada,CAN,20,CAN,1997, ,1
Canada,CAN,20,CAN,1998, ,1
Canada,CAN,20,CAN,1999, ,1
Canada,CAN,20,CAN,2000,1,1
Canada,CAN,20,CAN,2001,1,1
Canada,CAN,20,CAN,2002,1,2
Canada,CAN,20,CAN,2003,1,1
Canada,CAN,20,CAN,2004,1,1
Canada,CAN,20,CAN,2005,1,1
Canada,CAN,20,CAN,2006,1,1
Canada,CAN,20,CAN,2007,2,1
Canada,CAN,20,CAN,2008,2,1
Canada,CAN,20,CAN,2009,1,1
Canada,CAN,20,CAN,2010,1,1
Canada,CAN,20,CAN,2011,1,1
Bahamas,BHM,31,BHS,1976, ,1
Bahamas,BHM,31,BHS,1977, ,1
Bahamas,BHM,31,BHS,1978, ,1
Bahamas,BHM,31,BHS,1979, ,1
Bahamas,BHM,31,BHS,1980, ,1
Bahamas,BHM,31,BHS,1981, ,1
Bahamas,BHM,31,BHS,1982, ,1
Bahamas,BHM,31,BHS,1983, ,1
Bahamas,BHM,31,BHS,1984, ,1
Bahamas,BHM,31,BHS,1985, ,1
Bahamas,BHM,31,BHS,1986,1,2
Bahamas,BHM,31,BHS,1987, ,1
Bahamas,BHM,31,BHS,1988, ,1
Bahamas,BHM,31,BHS,1989,1,1
Bahamas,BHM,31,BHS,1990,1,1
Bahamas,BHM,31,BHS,1991,1,1
Bahamas,BHM,31,BHS,1992,1,1
Bahamas,BHM,31,BHS,1993,1,1
Bahamas,BHM,31,BHS,1994,1,2
Bahamas,BHM,31,BHS,1995,1,1
Bahamas,BHM,31,BHS,1996,1,1
Bahamas,BHM,31,BHS,1997,1,1
Bahamas,BHM,31,BHS,1998,1,1
Bahamas,BHM,31,BHS,1999,1,1
Bahamas,BHM,31,BHS,2000,1,1
Bahamas,BHM,31,BHS,2001,1,1
Bahamas,BHM,31,BHS,2002,2,2
Bahamas,BHM,31,BHS,2003,2,2
Bahamas,BHM,31,BHS,2004,1,2
Bahamas,BHM,31,BHS,2005,2,1
Bahamas,BHM,31,BHS,2006,2,1
Bahamas,BHM,31,BHS,2007,3,2
Bahamas,BHM,31,BHS,2008,2,2
Bahamas,BHM,31,BHS,2009,2,2
Bahamas,BHM,31,BHS,2010,1,2
Bahamas,BHM,31,BHS,2011,2,2
Cuba,CUB,40,CUB,1976,3, 
Cuba,CUB,40,CUB,1977,3,4
Cuba,CUB,40,CUB,1978,4, 
Cuba,CUB,40,CUB,1979,3,3
Cuba,CUB,40,CUB,1980,3,3
Cuba,CUB,40,CUB,1981,3,3
Cuba,CUB,40,CUB,1982,3,3
Cuba,CUB,40,CUB,1983,3,3
Cuba,CUB,40,CUB,1984,3,3
Cuba,CUB,40,CUB,1985,3,3
Cuba,CUB,40,CUB,1986,3,4
Cuba,CUB,40,CUB,1987,3,3
Cuba,CUB,40,CUB,1988,3,3
Cuba,CUB,40,CUB,1989,3,3
Cuba,CUB,40,CUB,1990,3,3
Cuba,CUB,40,CUB,1991,3,3
Cuba,CUB,40,CUB,1992,3,3
Cuba,CUB,40,CUB,1993,3,3
Cuba,CUB,40,CUB,1994,3,3
Cuba,CUB,40,CUB,1995,4,3
Cuba,CUB,40,CUB,1996,3,3
Cuba,CUB,40,CUB,1997,3,3
Cuba,CUB,40,CUB,1998,3,3
Cuba,CUB,40,CUB,1999,3,3
