ccode,Government,YEAR,Fat_best,Fat_low,Fat_high,Gov actor,Location,GWNOLoc
2,USA  ,2004,101,100,131,1,Iraq,645
2,USA  ,2005,48,48,59,1,"Iraq, Afghanistan","645, 700"
2,USA  ,2006,38,35,57,1,"Iraq, Afghanistan","645, 700"
2,USA  ,2007,43,39,67,1,"Iraq, Afghanistan","645, 700"
41,Haiti,1991,42,42,340,1,Haiti,41
41,Haiti,1993,37,37,137,1,Haiti,41
41,Haiti,1994,133,133,463,1,Haiti,41
41,Haiti,2005,40,40,78,1,Haiti,41
90,Guatemala,1989,409,209,409,1,Guatemala,90
90,Guatemala,1990,598,345,598,1,Guatemala,90
90,Guatemala,1991,354,248,354,1,Guatemala,90
90,Guatemala,1992,326,179,326,1,Guatemala,90
90,Guatemala,1993,160,122,293,1,Guatemala,90
90,Guatemala,1994,250,135,250,1,Guatemala,90
90,Guatemala,1995,95,45,95,1,Guatemala,90
100,Colombia,1990,92,80,100,1,Colombia,100
100,Colombia,1991,42,39,65,1,Colombia,100
101,Venezuela,1989,44,44,300,1,Venezuela,101
140,Brazil,1993,29,29,29,1,Brazil,140
140,Brazil,2005,34,34,42,1,Brazil,140
344,Croatia,1993,28,28,94,1,Croatia,344
344,Croatia,1995,85,85,277,1,Croatia,344
345,Serbia (Yugoslavia),1998,211,211,484,1,Serbia (Yugoslavia),345
345,Serbia (Yugoslavia),1999,781,781,2837,1,Serbia (Yugoslavia),345
346,Bosnia-Herzegovina,1992,80,80,159,1,Bosnia-Herzegovina,346
346,Bosnia-Herzegovina,1993,168,168,516,1,Bosnia-Herzegovina,346
360,Rumania,1989,179,179,779,1,Rumania,360
365,Russia,1991,36,36,57,1,Russia (Soviet Union),365
365,Russia,1995,141,141,2471,1,Russia (Soviet Union),365
365,Russia,1996,42,42,54,1,Russia (Soviet Union),365
365,Russia,1999,311,311,475,1,Russia (Soviet Union),365
365,Russia,2000,1597,1570,1854,1,Russia (Soviet Union),365
365,Russia,2001,188,188,389,1,Russia (Soviet Union),365
365,Russia,2002,205,178,380,1,Russia (Soviet Union),365
432,Mali,1990,125,125,262,1,Mali,432
432,Mali,1991,176,176,204,1,Mali,432
432,Mali,1992,77,77,119,1,Mali,432
432,Mali,1994,251,251,989,1,Mali,432
433,Senegal,1998,38,38,38,1,Senegal,433
436,Niger,1990,200,63,603,1,Niger,436
436,Niger ,1995,31,31,31,1,Niger,436
436,Niger,1998,147,147,148,1,Niger,436
437,Cote d'Ivoire,2000,101,101,121,1,Cote d'Ivoire,437
437,Cote d'Ivoire,2002,228,228,279,1,Cote d'Ivoire,437
437,Cote d'Ivoire,2003,73,73,73,1,Cote d'Ivoire,437
437,Cote d'Ivoire,2004,42,39,109,1,Cote d'Ivoire,437
438,Guinea,2007,45,42,56,1,Guinea,438
438,Guinea,2009,160,90,160,1,Guinea,438
450,Liberia,1990,942,942,1221,1,Liberia,450
450,Liberia,2002,176,176,176,1,Liberia,450
450,Liberia,2003,61,61,61,1,Liberia,450
451,Sierra Leone,1997,89,89,216,1,Sierra Leone,451
461,Togo,1991,32,30,32,1,Togo,461
461,Togo,1993,48,19,58,1,Togo,461
461,Togo,2005,436,436,461,1,Togo,461
471,Cameroon,1994,55,55,61,1,Cameroon,471
475,Nigeria,1990,80,80,80,1,Nigeria,475
475,Nigeria,2001,150,150,209,1,Nigeria,475
475,Nigeria,2002,45,45,60,1,Nigeria,475
475,Nigeria,2003,50,50,113,1,Nigeria,475
475,Nigeria,2004,37,37,116,1,Nigeria,475
475,Nigeria,2008,123,123,199,1,Nigeria,475
482,Central African Republic,2001,25,25,60,1,Central African Republic,482
482,Central African Republic,2006,102,102,139,1,Central African Republic,482
482,Central African Republic,2007,25,21,33,1,Central African Republic,482
483,Chad,1990,41,41,441,1,Chad,483
483,Chad,1991,27,27,32,1,Chad,483
483,Chad,1992,169,169,271,1,Chad,483
483,Chad,1993,208,167,263,1,Chad,483
483,Chad,1994,30,30,30,1,Chad,483
483,Chad,1995,47,47,48,1,Chad,483
483,Chad,1997,87,87,87,1,Chad,483
483,Chad,1998,145,145,145,1,Chad,483
484,Congo,1997,354,354,15154,1,"Congo, Republic of (Brazzaville)",484
484,Congo,1998,450,450,1592,1,"Congo, Republic of (Brazzaville)",484
484,Congo,1999,105,105,105,1,"Congo, Republic of (Brazzaville)",484
490,Democratic Republic of Congo (Zaire),1989,28,28,28,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),1990,147,18,147,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),1991,33,33,210,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),1992,64,47,91,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),1993,86,18,347,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),1995,58,49,81,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),1996,1246,1246,1539,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),1997,4177,4177,5100,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),1998,1591,1291,1666,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),1999,591,591,604,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),2000,81,81,81,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),2002,189,189,189,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),2004,130,130,130,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),2006,153,153,161,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),2007,92,81,98,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),2008,49,49,59,1,Democratic Republic of Congo (Zaire),490
490,Democratic Republic of Congo (Zaire),2009,545,545,545,1,Democratic Republic of Congo (Zaire),490
500,Uganda,1990,80,80,80,1,Uganda,500
500,Uganda,1991,59,59,59,1,Uganda,500
501,Kenya,2007,41,41,49,1,Kenya,501
501,Kenya,2008,220,123,254,1,Kenya,501
