"ccode","year","genocide","Mgenocide"
2,1956,0,1
2,1957,0,1
2,1958,0,1
2,1959,0,1
2,1960,0,1
2,1961,0,1
2,1962,0,1
2,1963,0,1
2,1964,0,1
2,1965,0,1
2,1966,0,1
2,1967,0,1
2,1968,0,1
2,1969,0,1
2,1970,0,1
2,1971,0,1
2,1972,0,1
2,1973,0,1
2,1974,0,1
2,1975,0,1
2,1976,0,1
2,1977,0,1
2,1978,0,1
2,1979,0,1
2,1980,0,1
2,1981,0,1
2,1982,0,1
2,1983,0,1
2,1984,0,1
2,1985,0,1
2,1986,0,1
2,1987,0,1
2,1988,0,1
2,1989,0,1
2,1990,0,1
2,1991,0,1
2,1992,0,1
2,1993,0,1
2,1994,0,1
2,1995,0,1
2,1996,0,1
2,1997,0,1
2,1998,0,1
2,1999,0,1
2,2000,0,1
2,2001,0,1
2,2002,0,1
2,2003,0,1
2,2004,0,1
2,2005,0,1
2,2006,0,1
2,2007,0,1
2,2008,0,1
2,2009,0,1
2,2010,0,1
20,1956,0,1
20,1957,0,1
20,1958,0,1
20,1959,0,1
20,1960,0,1
20,1961,0,1
20,1962,0,1
20,1963,0,1
20,1964,0,1
20,1965,0,1
20,1966,0,1
20,1967,0,1
20,1968,0,1
20,1969,0,1
20,1970,0,1
20,1971,0,1
20,1972,0,1
20,1973,0,1
20,1974,0,1
20,1975,0,1
20,1976,0,1
20,1977,0,1
20,1978,0,1
20,1979,0,1
20,1980,0,1
20,1981,0,1
20,1982,0,1
20,1983,0,1
20,1984,0,1
20,1985,0,1
20,1986,0,1
20,1987,0,1
20,1988,0,1
20,1989,0,1
20,1990,0,1
20,1991,0,1
20,1992,0,1
20,1993,0,1
20,1994,0,1
20,1995,0,1
20,1996,0,1
20,1997,0,1
20,1998,0,1
20,1999,0,1
20,2000,0,1
20,2001,0,1
20,2002,0,1
20,2003,0,1
20,2004,0,1
20,2005,0,1
20,2006,0,1
20,2007,0,1
20,2008,0,1
20,2009,0,1
20,2010,0,1
31,1973,0,1
31,1974,0,1
31,1975,0,1
31,1976,0,1
31,1977,0,1
31,1978,0,1
31,1979,0,1
31,1980,0,1
31,1981,0,1
31,1982,0,1
31,1983,0,1
31,1984,0,1
31,1985,0,1
31,1986,0,1
31,1987,0,1
31,1988,0,1
31,1989,0,1
31,1990,0,1
31,1991,0,1
31,1992,0,1
31,1993,0,1
31,1994,0,1
31,1995,0,1
31,1996,0,1
31,1997,0,1
31,1998,0,1
31,1999,0,1
31,2000,0,1
31,2001,0,1
31,2002,0,1
31,2003,0,1
31,2004,0,1
31,2005,0,1
31,2006,0,1
31,2007,0,1
31,2008,0,1
31,2009,0,1
31,2010,0,1
40,1956,0,1
40,1957,0,1
40,1958,0,1
40,1959,0,1
40,1960,0,1
40,1961,0,1
40,1962,0,1
40,1963,0,1
40,1964,0,1
40,1965,0,1
40,1966,0,1
40,1967,0,1
40,1968,0,1
40,1969,0,1
40,1970,0,1
40,1971,0,1
40,1972,0,1
40,1973,0,1
40,1974,0,1
40,1975,0,1
40,1976,0,1
40,1977,0,1
40,1978,0,1
40,1979,0,1
40,1980,0,1
40,1981,0,1
40,1982,0,1
40,1983,0,1
40,1984,0,1
40,1985,0,1
40,1986,0,1
40,1987,0,1
40,1988,0,1
40,1989,0,1
40,1990,0,1
40,1991,0,1
40,1992,0,1
40,1993,0,1
40,1994,0,1
40,1995,0,1
40,1996,0,1
40,1997,0,1
40,1998,0,1
40,1999,0,1
40,2000,0,1
40,2001,0,1
40,2002,0,1
40,2003,0,1
40,2004,0,1
40,2005,0,1
40,2006,0,1
40,2007,0,1
40,2008,0,1
40,2009,0,1
40,2010,0,1
41,1956,0,1
41,1957,0,1
41,1958,0,1
41,1959,0,1
41,1960,0,1
41,1961,0,1
41,1962,0,1
41,1963,0,1
41,1964,0,1
41,1965,0,1
41,1966,0,1
41,1967,0,1
41,1968,0,1
41,1969,0,1
41,1970,0,1
41,1971,0,1
41,1972,0,1
41,1973,0,1
41,1974,0,1
41,1975,0,1
41,1976,0,1
41,1977,0,1
41,1978,0,1
41,1979,0,1
41,1980,0,1
41,1981,0,1
41,1982,0,1
41,1983,0,1
41,1984,0,1
41,1985,0,1
41,1986,0,1
41,1987,0,1
41,1988,0,1
41,1989,0,1
41,1990,0,1
41,1991,0,1
41,1992,0,1
41,1993,0,1
41,1994,0,1
41,1995,0,1
41,1996,0,1
41,1997,0,1
41,1998,0,1
41,1999,0,1
41,2000,0,1
41,2001,0,1
41,2002,0,1
41,2003,0,1
41,2004,0,1
41,2005,0,1
41,2006,0,1
41,2007,0,1
41,2008,0,1
41,2009,0,1
41,2010,0,1
42,1956,0,1
42,1957,0,1
42,1958,0,1
42,1959,0,1
42,1960,0,1
42,1961,0,1
42,1962,0,1
42,1963,0,1
42,1964,0,1
42,1965,0,1
42,1966,0,1
42,1967,0,1
42,1968,0,1
42,1969,0,1
42,1970,0,1
42,1971,0,1
42,1972,0,1
42,1973,0,1
42,1974,0,1
42,1975,0,1
42,1976,0,1
42,1977,0,1
42,1978,0,1
42,1979,0,1
42,1980,0,1
42,1981,0,1
42,1982,0,1
42,1983,0,1
42,1984,0,1
42,1985,0,1
42,1986,0,1
42,1987,0,1
42,1988,0,1
42,1989,0,1
42,1990,0,1
42,1991,0,1
42,1992,0,1
42,1993,0,1
42,1994,0,1
42,1995,0,1
42,1996,0,1
42,1997,0,1
42,1998,0,1
42,1999,0,1
42,2000,0,1
42,2001,0,1
42,2002,0,1
42,2003,0,1
42,2004,0,1
42,2005,0,1
42,2006,0,1
42,2007,0,1
42,2008,0,1
42,2009,0,1
42,2010,0,1
51,1962,0,1
51,1963,0,1
