ccode,Government,YEAR,Fat_best,Fat_low,Fat_high,Gov actor,Location,GWNOLoc
41,Government of Haiti,1991,42,42,340,1,Haiti,41
41,Government of Haiti,1993,37,37,137,1,Haiti,41
41,Government of Haiti,1994,133,133,463,1,Haiti,41
41,Government of Haiti,2005,40,40,78,1,Haiti,41
90,Government of Guatemala,1989,409,209,409,1,Guatemala,90
90,Government of Guatemala,1990,598,345,598,1,Guatemala,90
90,Government of Guatemala,1991,354,248,354,1,Guatemala,90
90,Government of Guatemala,1992,326,179,326,1,Guatemala,90
90,Government of Guatemala,1993,160,122,293,1,Guatemala,90
90,Government of Guatemala,1994,250,135,250,1,Guatemala,90
90,Government of Guatemala,1995,95,45,95,1,Guatemala,90
100,Government of Colombia,1990,92,80,100,1,Colombia,100
100,Government of Colombia,1991,42,39,65,1,Colombia,100
101,Government of Venezuela,1989,44,44,300,1,Venezuela,101
140,Government of Brazil,1993,29,29,29,1,Brazil,140
140,Government of Brazil,2005,34,34,42,1,Brazil,140
344,Government of Croatia,1993,28,28,94,1,Croatia,344
344,Government of Croatia,1995,85,85,277,1,Croatia,344
345,Government of Serbia (Yugoslavia),1998,211,211,484,1,Serbia (Yugoslavia),345
345,Government of Serbia (Yugoslavia),1999,781,781,2837,1,Serbia (Yugoslavia),345
346,Government of Bosnia-Herzegovina,1992,80,80,159,1,Bosnia-Herzegovina,346
346,Government of Bosnia-Herzegovina,1993,168,168,516,1,Bosnia-Herzegovina,346
360,Government of Rumania,1989,179,179,779,1,Rumania,360
365,Government of Russia (Soviet Union),1991,36,36,57,1,Russia (Soviet Union),365
365,Government of Russia (Soviet Union),1995,141,141,2471,1,Russia (Soviet Union),365
365,Government of Russia (Soviet Union),1996,42,42,54,1,Russia (Soviet Union),365
365,Government of Russia (Soviet Union),1999,311,311,475,1,Russia (Soviet Union),365
365,Government of Russia (Soviet Union),2000,1597,1570,1854,1,Russia (Soviet Union),365
365,Government of Russia (Soviet Union),2001,188,188,389,1,Russia (Soviet Union),365
365,Government of Russia (Soviet Union),2002,205,178,380,1,Russia (Soviet Union),365
432,Government of Mali,1990,125,125,262,1,Mali,432
432,Government of Mali,1991,176,176,204,1,Mali,432
432,Government of Mali,1992,77,77,119,1,Mali,432
432,Government of Mali,1994,251,251,989,1,Mali,432
433,Government of Senegal,1998,38,38,38,1,Senegal,433
436,Government of Niger,1990,200,63,603,1,Niger,436
436,Government of Niger ,1995,31,31,31,1,Niger,436
436,Government of Niger,1998,147,147,148,1,Niger,436
437,Government of Ivory Coast,2000,101,101,121,1,Ivory Coast,437
437,Government of Ivory Coast,2002,228,228,279,1,Ivory Coast,437
437,Government of Ivory Coast,2003,73,73,73,1,Ivory Coast,437
437,Government of Ivory Coast,2004,42,39,109,1,Ivory Coast,437
437,Government of Ivory Coast,2011,277,275,443,1,Ivory Coast,437
438,Government of Guinea,2007,45,42,56,1,Guinea,438
438,Government of Guinea,2009,160,90,160,1,Guinea,438
450,Government of Liberia,1990,1250,1250,1427,1,Liberia,450
450,Government of Liberia,1999,70,70,70,1,Liberia,450
450,Government of Liberia,2000,44,44,44,1,Liberia,450
450,Government of Liberia,2001,120,120,120,1,Liberia,450
450,Government of Liberia,2002,1648,1648,1648,1,Liberia,450
450,Government of Liberia,2003,1076,1076,1076,1,Liberia,450
451,Government of Sierra Leone,1997,89,89,216,1,Sierra Leone,451
461,Government of Togo,1991,32,30,32,1,Togo,461
461,Government of Togo,1993,48,19,58,1,Togo,461
461,Government of Togo,2005,436,436,461,1,Togo,461
471,Government of Cameroon,1994,55,55,61,1,Cameroon,471
475,Government of Nigeria,1990,80,80,80,1,Nigeria,475
475,Government of Nigeria,2001,150,150,209,1,Nigeria,475
475,Government of Nigeria,2002,45,45,60,1,Nigeria,475
475,Government of Nigeria,2003,40,40,40,1,Nigeria,475
475,Government of Nigeria,2004,37,37,116,1,Nigeria,475
475,Government of Nigeria,2008,123,123,199,1,Nigeria,475
