Var,drop1,drop2,drop3,drop4,drop5,drop6,drop7,drop8,drop9,drop10,drop11,drop12,drop13,drop14,drop15,drop16,drop17,drop18
disap,12,13,14,15,91,92,123,124,198,199,200,201,202,203,204,205,206,207
kill,17,18,19,20,94,95,126,127,211,212,213,214,215,216,217,218,219,220
tort,22,23,24,25,97,98,129,130,224,225,226,227,228,229,230,231,232,233
amnesty,27,28,29,30,100,101,132,133,237,238,239,240,241,242,243,244,245,246
state,32,33,34,35,103,104,135,136,250,251,252,253,254,255,256,257,258,259
hrw,37,38,39,40,106,107,138,139,263,264,265,266,267,268,269,270,271,272
hathaway,42,43,44,45,109,110,141,142,276,277,278,279,280,281,282,283,284,285
polpris,47,48,49,,,,144,145,289,290,291,292,293,294,295,,,
itt,51,52,53,,,,147,148,299,300,301,302,303,304,305,,,
genocide,55,56,57,,,,150,151,309,310,311,312,313,314,315,,,
rummel,59,60,61,,,,153,154,319,320,321,322,323,324,325,,,
massive_repression,63,64,65,,,,156,157,329,330,331,332,333,334,335,,,
executions,67,68,69,,,,159,160,339,340,341,342,343,344,345,,,
negative_sanctions,71,72,73,,,,162,163,349,350,351,352,353,354,355,,,
mass_killing,75,76,77,,,,165,166,359,360,361,362,363,364,365,,,
killing_present,79,80,81,,,,168,169,369,370,371,372,373,374,375,,,
