"","YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","HRW","hathaway","ITT","genocide","rummel","massive_repression","executions","negative_sanctions","mass_killing","killing_low","killing_best","killing_high","killing_present","COW_YEAR","id","theta_mean","theta_sd","theta_q025","theta_q975"
"1",1946,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1946",864,-0.759035809061964,0.445757549855075,-1.54713218580621,0.228933312701602
"2",1947,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1947",865,-0.855330735769038,0.397815058966266,-1.54493280231967,-0.0172827153089248
"3",1948,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,"2-1948",866,-0.991882669561629,0.353807770186376,-1.6287934012348,-0.249381041230488
"4",1949,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1949",867,-1.16721711560565,0.274541163257929,-1.68107932038027,-0.59638826619994
"5",1950,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1950",868,-1.2479843325455,0.245558154070598,-1.73603416455757,-0.754108750203869
"6",1951,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1951",869,-1.29821247762289,0.230446340206764,-1.74226561387766,-0.844935284014806
"7",1952,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1952",870,-1.32855356020508,0.238957081741446,-1.81277948276166,-0.830402970124582
"8",1953,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,NA,"2-1953",871,-1.36812424485454,0.233791437644962,-1.83243460093405,-0.919903531345848
"9",1954,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1954",872,-1.34898783090293,0.230050257774938,-1.80286517976005,-0.896303207170916
"10",1955,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1955",873,-1.33954035229698,0.227673534475584,-1.75277550848119,-0.853887046489579
"11",1956,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1956",874,-1.33329416255837,0.227909646088366,-1.77077703132543,-0.896964454742373
"12",1957,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1957",875,-1.33451653353888,0.229785871496895,-1.77491020771832,-0.873979841365086
"13",1958,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1958",876,-1.32393125536567,0.229730186173843,-1.7640631188561,-0.872794800269059
"14",1959,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1959",877,-1.32170983310203,0.236390875130308,-1.7593220337816,-0.870757062835754
"15",1960,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1960",878,-1.3372202437228,0.229301664094968,-1.7788613129605,-0.863456135659054
"16",1961,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1961",879,-1.32800638152301,0.227303485573482,-1.78409944334647,-0.894778522698682
"17",1962,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1962",880,-1.32589598628951,0.227719914394374,-1.78681631230454,-0.889593501714472
"18",1963,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1963",881,-1.32372558455365,0.227572750742833,-1.76462816848581,-0.8727997492311
"19",1964,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1964",882,-1.32507202323725,0.233962844246337,-1.77887931194564,-0.865731655664939
"20",1965,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1965",883,-1.31193655847247,0.232295538683543,-1.76349321703833,-0.857410609811132
"21",1966,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1966",884,-1.30543283135971,0.222796353568207,-1.72338331239754,-0.871903732747871
